1111111111111111,0000000000001000,0000000000000000,1111111111111111,5,3
1111111111111111,0000000000001001,0000000000000110,0000000000001000,28,3
1111111111111111,0000000000000010,0000000000000011,0000000000001001,25,1
1111111111111111,0000000000000011,0000000000000110,0000000000000010,47,2
1111111111111111,0000000000000110,0000000000000101,0000000000000011,3,3
1111111111111111,0000000000000110,0000000000001001,0000000000000110,48,2
1111111111111111,1111111111111111,0000000000000000,0000000000000110,18,0
0000000000000000,0000000000000000,0000000000000010,1111111111111111,46,2
0000000000000110,0000000000000110,0000000000000001,0000000000000000,12,2
0000000000000011,0000000000000011,0000000000000000,0000000000000110,11,2
0000000000000110,0000000000001001,0000000000000111,0000000000000011,20,1
0000000000000101,0000000000000001,0000000000000010,0000000000001001,33,3
0000000000001001,0000000000000010,0000000000000111,0000000000000001,9,2
0000000000000000,1111111111111111,0000000000000101,0000000000000010,29,2
0000000000000010,0000000000000010,0000000000001000,1111111111111111,39,0
0000000000000001,0000000000001001,0000000000001001,0000000000000010,0,0
0000000000000000,0000000000000101,0000000000000001,0000000000001001,42,3
0000000000000111,0000000000000111,0000000000000001,0000000000000101,45,2
0000000000000010,0000000000000011,0000000000001000,0000000000000111,40,3
0000000000000111,0000000000001000,0000000000000111,0000000000000011,15,3
0000000000000101,1111111111111111,0000000000000100,0000000000001000,31,0
0000000000001000,0000000000001000,0000000000000011,1111111111111111,7,0
0000000000001001,0000000000000110,0000000000000101,0000000000001000,14,3
0000000000000001,0000000000001001,0000000000000100,0000000000000110,2,3
0000000000000001,0000000000000010,0000000000000100,0000000000001001,17,2
0000000000001000,0000000000001000,0000000000000010,0000000000000010,36,2
0000000000000111,0000000000000101,0000000000001000,0000000000001000,6,3
0000000000000100,1111111111111111,0000000000000110,0000000000000101,26,1
0000000000000011,0000000000000001,0000000000000101,1111111111111111,35,2
0000000000000101,0000000000000011,0000000000001000,0000000000000001,8,1
0000000000000100,0000000000000111,0000000000000001,0000000000000011,41,0
0000000000000100,0000000000001001,0000000000000100,0000000000000111,16,0
0000000000000010,0000000000000100,0000000000000000,0000000000001001,22,2
0000000000001000,0000000000000010,0000000000000110,0000000000000100,44,2
0000000000000110,1111111111111111,0000000000000011,0000000000000010,34,1
0000000000000101,0000000000000100,0000000000000100,1111111111111111,10,0
0000000000001000,0000000000000010,0000000000000101,0000000000000100,30,0
0000000000000001,0000000000000001,0000000000000100,0000000000000010,13,3
0000000000000100,0000000000000001,0000000000000000,0000000000000001,23,0
0000000000000000,0000000000000101,0000000000000111,0000000000000001,37,1
0000000000000110,0000000000000011,0000000000000011,0000000000000101,43,3
0000000000000011,1111111111111111,0000000000000111,0000000000000011,1,0
0000000000000100,0000000000001001,1111111111111111,1111111111111111,38,3
0000000000000101,0000000000000000,1111111111111111,0000000000001001,4,0
0000000000000100,0000000000000111,1111111111111111,0000000000000000,24,2
0000000000000000,0000000000000001,1111111111111111,0000000000000111,19,1
0000000000000111,0000000000000000,1111111111111111,0000000000000001,32,1
0000000000000011,0000000000000100,1111111111111111,0000000000000000,21,2
0000000000000111,1111111111111111,1111111111111111,0000000000000100,27,1
