5
10,101,110,100
1111111111111111,110,1,10
1111111111111111,111,10,1111111111111111
100,100,111,11
10,101,1111111111111111,1111111111111111
1111111111111111,1000,10,101
111,1,1111111111111111,10
11,1111111111111111,111,111
111,101,101,110
1111111111111111,101,110,1000
1,11,1000,1000
111,1111111111111111,10,1000
11,11,1111111111111111,101
100,1111111111111111,11,110
1111111111111111,111,10,10
1000,1,10,1000
101,101,111,1111111111111111
110,1111111111111111,100,110
110,10,11,1
11,111,1111111111111111,1111111111111111
1,11,101,1111111111111111
110,1000,100,11
101,10,1,1000
110,110,1111111111111111,1111111111111111
101,1000,1,110
