6
1001,1000,111,110
1111111111111111,10,1010,1010
1,111,111,111
1111111111111111,10,111,110
11,1000,1,1111111111111111
10,1111111111111111,1111111111111111,101
1111111111111111,100,10,1001
1000,101,10,100
1001,1001,1111111111111111,1000
11,1111111111111111,1111111111111111,100
11,1,110,1111111111111111
1000,1111111111111111,1010,111
1001,1010,1001,1010
1111111111111111,110,110,11
111,1010,1001,1000
1,1000,101,1010
111,1,1010,11
111,1,1001,1000
1000,101,1010,1111111111111111
1111111111111111,1001,111,101
111,1000,1,1010
1111111111111111,110,11,11
1000,10,11,111
1001,1001,1001,1111111111111111
100,1111111111111111,1111111111111111,11
11,1000,100,1111111111111111
11,1111111111111111,1001,10
111,1010,10,11
1,10,1000,1111111111111111
101,110,101,1000
11,110,1001,111
1001,101,1010,1000
11,11,1001,1000
1001,10,1111111111111111,1111111111111111
100,1000,1000,1010
1001,1111111111111111,1010,11
