5
100,100,110,10
110,1111111111111111,1111111111111111,111
111,11,1111111111111111,100
101,1111111111111111,1111111111111111,1000
1000,101,1000,1111111111111111
110,1111111111111111,101,11
10,11,101,11
10,10,10,1000
10,1000,1111111111111111,110
111,100,1111111111111111,1111111111111111
111,111,1,101
10,1000,1111111111111111,11
1111111111111111,1000,10,111
1,111,1111111111111111,100
10,10,110,101
11,110,1111111111111111,1111111111111111
110,101,101,10
11,1111111111111111,110,101
101,111,1000,110
110,11,10,111
11,100,11,1111111111111111
11,1000,11,1111111111111111
1,10,100,1111111111111111
1000,110,111,100
1,1111111111111111,110,10
