8
1111111111111111,111,1111,1111111111111111
111,1111111111111111,100,1111
1110,1111,100,1111111111111111
1110,1111111111111111,100,1100
100,1111111111111111,1000,1010
1111111111111111,111,1110,1000
111,1111111111111111,110,1001
1111111111111111,1111111111111111,10,110
1010,1011,1111111111111111,1111
1010,1111,10,1110
10,1111,1101,1010
1101,1100,11,1100
1001,11,1010,1100
1100,1110,1100,1011
10000,110,1100,1001
1111111111111111,1,10000,10
1101,1101,1111111111111111,1011
1101,1110,1001,1100
1001,1010,1100,1101
1100,1100,1,10
10,10,1,1001
10,1011,1110,110
1001,1111,1110,110
1000,1001,1,1111111111111111
1101,1101,1011,1111111111111111
1100,1011,1001,1101
1101,1100,110,1011
111,1010,1100,10
1,111,10,1111
110,1001,1101,1111
100,1001,1111,10
111,10,1000,1111111111111111
1011,10000,100,1111111111111111
1001,1101,101,10000
1111,100,1101,110
1111,1010,1101,111
10000,1001,1101,1
1010,11,10000,1101
100,11,10000,1010
110,11,111,1111111111111111
1000,1111111111111111,100,1101
101,11,1000,1101
11,1011,11,100
11,111,1111,10000
1111,11,1111,1001
1111,11,1001,10000
1000,1001,10000,1010
101,1010,110,1111111111111111
10,11,1111111111111111,1000
10,1000,1100,1
110,10,1100,1011
10000,110,1000,110
110,110,11,101
10000,1,100,101
1000,1000,100,1
1000,101,1111111111111111,10
1000,1111111111111111,1111111111111111,11
1111111111111111,1000,1,1001
1001,10,1111,1111111111111111
1111111111111111,1111,1000,1111
1111,110,1101,1111111111111111
1101,100,100,1111111111111111
100,100,101,1111111111111111
101,10,1111111111111111,1111111111111111
