6
1010,1111111111111111,1111111111111111,1001
111,1001,1111111111111111,1010
100,1010,1111111111111111,1
1001,1,1111111111111111,1000
10,11,1000,1111111111111111
111,10,1111111111111111,1111111111111111
101,11,1111111111111111,1010
111,10,10,101
110,10,100,101
1,110,101,1001
11,1,11,10
110,10,111,1111111111111111
1010,100,1111111111111111,11
10,111,101,1010
110,1010,111,111
110,101,1010,110
110,11,11,11
10,1111111111111111,1,11
1111111111111111,100,1001,1010
101,111,1000,1001
111,111,110,10
1,110,101,1001
11,100,10,1001
1,1111111111111111,1001,100
1111111111111111,1010,110,101
1001,110,1000,1
1001,1,10,11
101,11,11,1010
10,100,1,101
1,100,1001,1111111111111111
1111111111111111,1111111111111111,101,111
10,1111111111111111,111,1001
1010,1111111111111111,110,1001
1,11,100,1111111111111111
100,1010,110,1111111111111111
1010,1111111111111111,1111111111111111,110
