5
1111111111111111,1111111111111111,10,100
10,1,10,1111111111111111
101,10,1111111111111111,100
10,1000,100,1111111111111111
1111111111111111,1,10,1111111111111111
1,1111111111111111,100,1
1,1,1,111
1,101,110,110
110,1000,110,1000
110,1,1111111111111111,1000
100,111,1111111111111111,1
1000,100,111,100
100,110,101,11
101,1000,10,101
10,1000,1111111111111111,110
11,1111111111111111,111,110
1000,100,110,110
11,110,111,100
101,111,1,101
11,111,110,1111111111111111
1111111111111111,1111111111111111,11,11
1000,1111111111111111,11,101
1111111111111111,1000,111,111
1,111,1111111111111111,111
111,11,1111111111111111,1111111111111111
